party,current,css,image,2017-05-03,2017-06-21,2019-11-06,2019-12-13
Alliance,0,alliance,/alliance.svg,NA,NA,NA,0
Change UK,NA,change,/change.svg,NA,NA,0,NA
Conservative,24,conservative,/conservative.svg,18,20,18,24
Democratic Unionist,0,dup,/dup.svg,0,0,0,0
Green,0,green,/green.svg,0,0,0,0
Independent,1,independent,/independent.svg,0,1,2,1
Labour,16,labour,/labour.svg,14,20,20,16
Liberal Democrat,NA,libdem,/libdem.svg,0,0,0,NA
Plaid Cymru,0,plaid,/plaid.svg,0,0,0,0
Scottish National,9,snp,/snp.svg,8,7,7,9
Sinn Fein,0,sinnfein,/sinnfein.svg,0,0,0,0
Social Democratic and Labour,0,sdlp,/sdlp.svg,0,NA,NA,0
Speaker,0,speaker,/speaker.svg,0,0,0,0
Ulster Unionist,NA,uup,/uup.svg,0,NA,NA,NA
United Kingdom Independence,NA,ukip,/ukip.svg,0,NA,NA,NA